"Date","Price","Open","High","Low","Change %"
"Jun 14, 2017","1.7539","1.7612","1.7667","1.7507","-0.43%"
"Jun 13, 2017","1.7614","1.7522","1.7624","1.7484","0.53%"
"Jun 12, 2017","1.7522","1.7628","1.7674","1.7494","-0.70%"
"Jun 09, 2017","1.7645","1.7886","1.7892","1.7493","-1.33%"
"Jun 08, 2017","1.7882","1.7919","1.7942","1.7834","-0.19%"
"Jun 07, 2017","1.7916","1.7812","1.7927","1.7791","0.58%"
"Jun 06, 2017","1.7813","1.7834","1.7877","1.7763","-0.08%"
"Jun 05, 2017","1.7828","1.7740","1.7884","1.7732","0.20%"
"Jun 02, 2017","1.7793","1.7868","1.7890","1.7777","-0.38%"
"Jun 01, 2017","1.7861","1.7828","1.7899","1.7761","0.17%"
"May 31, 2017","1.7831","1.7799","1.7872","1.7669","0.17%"
"May 30, 2017","1.7801","1.7805","1.7868","1.7751","-0.01%"
"May 29, 2017","1.7802","1.7685","1.7808","1.7663","0.62%"
"May 26, 2017","1.7692","1.7946","1.7955","1.7651","-1.40%"
"May 25, 2017","1.7943","1.7959","1.8015","1.7904","-0.11%"
"May 24, 2017","1.7963","1.8020","1.8052","1.7932","-0.34%"
"May 23, 2017","1.8024","1.8021","1.8086","1.7975","0.01%"
"May 22, 2017","1.8023","1.8027","1.8072","1.7982","-0.17%"
"May 19, 2017","1.8054","1.8018","1.8098","1.7999","0.23%"
"May 18, 2017","1.8013","1.8023","1.8166","1.7966","-0.09%"
"May 17, 2017","1.8029","1.8021","1.8108","1.7974","0.04%"
"May 16, 2017","1.8022","1.8026","1.8102","1.7984","0.00%"
"May 15, 2017","1.8022","1.8101","1.8135","1.8001","-0.44%"
"May 12, 2017","1.8101","1.8130","1.8170","1.8067","-0.19%"
"May 11, 2017","1.8135","1.8256","1.8284","1.8101","-0.64%"
"May 10, 2017","1.8251","1.8256","1.8320","1.8227","-0.04%"
"May 09, 2017","1.8259","1.8197","1.8286","1.8182","0.37%"
"May 08, 2017","1.8192","1.8235","1.8250","1.8166","-0.24%"
"May 05, 2017","1.8236","1.8100","1.8254","1.8061","0.75%"
"May 04, 2017","1.8100","1.7979","1.8109","1.7931","0.66%"
